2021-04-08,0,992
2021-04-05,3,131
2021-04-02,3,188
2021-04-12,1,205
2021-04-10,1,230
2021-04-18,2,239
2021-04-27,0,814
2021-04-21,3,95
2021-04-07,0,916
2021-04-18,0,976
2021-04-22,0,1014
2021-04-05,2,190
2021-04-25,0,989
2021-04-29,2,219
2021-04-30,3,116
2021-04-04,2,211
2021-04-25,1,205
2021-04-06,2,205
2021-04-17,2,249
2021-04-01,3,190
2021-04-20,0,1027
2021-04-19,0,961
2021-04-26,3,194
2021-04-09,1,182
2021-04-07,1,198
2021-04-28,2,179
2021-04-15,0,934
2021-04-05,0,910
2021-04-08,2,233
2021-04-22,1,199
2021-04-15,3,404
2021-04-15,1,199
2021-04-26,0,804
2021-04-30,2,186
2021-04-07,3,224
2021-04-17,1,213
2021-04-13,0,875
2021-04-13,1,160
2021-04-19,1,191
2021-04-20,2,213
2021-04-04,3,190
2021-04-22,3,224
2021-04-26,1,175
2021-04-28,1,154
2021-04-20,3,243
2021-04-28,0,789
2021-04-03,2,250
2021-04-10,3,222
2021-04-05,1,168
2021-04-14,2,220
2021-04-16,2,285
2021-04-23,0,940
2021-04-21,2,291
2021-04-04,1,258
2021-04-12,2,180
2021-04-19,3,275
2021-04-10,2,232
2021-04-14,0,946
2021-04-21,0,931
2021-04-23,3,220
2021-04-13,2,178
2021-04-16,0,1007
2021-04-24,0,922
2021-04-29,3,147
2021-04-06,3,199
2021-04-14,3,289
2021-04-12,0,993
2021-04-11,0,1106
2021-04-15,2,304
2021-04-19,2,218
2021-04-01,2,204
2021-04-09,3,250
2021-04-08,1,178
2021-04-25,2,180
2021-04-24,2,190
2021-04-17,3,263
2021-04-22,2,259
2021-04-03,3,185
2021-04-25,3,257
2021-04-11,1,225
2021-04-09,2,244
2021-04-06,1,172
2021-04-30,0,861
2021-04-03,0,1118
2021-04-16,3,257
2021-04-24,3,183
2021-04-23,1,177
2021-04-06,0,906
2021-04-03,1,229
2021-04-23,2,224
2021-04-21,1,191
2021-04-01,0,961
2021-04-11,2,223
2021-04-04,0,1142
2021-04-10,0,1054
2021-04-26,2,176
2021-04-30,1,170
2021-04-29,0,997
2021-04-29,1,181
2021-04-08,3,161
2021-04-11,3,234
2021-04-17,0,1126
2021-04-27,2,192
2021-04-20,1,158
2021-04-02,1,223
2021-04-12,3,147
2021-04-07,2,231
2021-04-27,3,292
2021-04-14,1,203
2021-04-13,3,231
2021-04-27,1,158
2021-04-16,1,210
2021-04-24,1,155
2021-04-09,0,1106
2021-04-28,3,140
2021-04-02,2,245
2021-04-18,1,189
2021-04-01,1,207
2021-04-18,3,307
2021-04-02,0,990
